,Kichwa,Spanish,Etiqueta
0,abya yala,continente americano,neutro
1,abyalami chawchuri rikurimanta,racismo en américa,negativo
2,allpapi tiyashkakuna,accidentes geograficos,neutro
3,wayku,acequia,neutro
4,achachilasa,antepasados,neutro
5,achik,"claro, luz",neutro
6,achik mama,madrina,neutro
7,achik wawa,"ahijado, ahijada",neutro
8,achik yaya,padrino,neutro
9,achiksamaytu,ozono,neutro
10,achikshumaytu,ozono,neutro
11,achikyachina,aclarar,positivo
12,achikyana,aclarar,positivo
13,achka,mucho,positivo
14,achkak,suficiente,positivo
15,ahak,ofensor,negativo
16,ahay,"ofender, ofensa",neutro
17,akapi,cebada,neutro
18,akcha,"pelo, cabello",neutro
19,akcha kara,cuero cabelludo,neutro
20,akllashka chani,muestra estadística,neutro
21,akllawarmi,virgen,neutro
22,akllay,escoger,positivo
23,akna,ceremonia,neutro
24,akna,ceremonia,neutro
25,akukutinchik,múltiplo del gramo,neutro
26,akuna,masticar,neutro
27,akuy,vil,neutro
28,alakay,alcanzar,positivo
29,alapana,"pegar, adherir",neutro
30,alaparina,"apegarse, aferrarse",positivo
31,allana,excavar,neutro
32,allawka,derecha (mano,neutro
33,allawka,derecho,positivo
34,alli,"bien, bueno",positivo
35,alli maki,mano derecha,neutro
36,allichi,adorno,positivo
37,allichina,arreglar,positivo
38,allichiy,arreglar,positivo
39,allikachina,gustar,positivo
40,allikay,"salud, bneficio",positivo
41,allikillkay,ortografía.,positivo
42,allikillkay,ortografía,positivo
43,allimanta,"despacio, de buena manera",positivo
44,allimikuy,nutrición,positivo
45,allin,magnifico,positivo
46,alliyana,"sanar, curar",positivo
47,alliyay,recuperar la salud,positivo
48,allku,perro,neutro
49,allpa,"tierra, suelo",neutro
50,allpa kara,corteza terrestre,neutro
51,allpa khiwa,hierba rastrera,negativo
52,allpachawpipacha muyuy,línea ecuatorial,neutro
53,allpachinkari,erosión,negativo
54,allpachinkariy,erosión,negativo
55,allpachukchuy,temblor,negativo
56,allpakamay saywachi,geografía política,neutro
57,allpakutik,movimiento de nutación,neutro
58,allpamama chaska,planeta tierra,neutro
59,allpamamakamay,geografía,neutro
60,allpamamapi rikuchi,ubicación geográfica,neutro
61,allpampay,superficie de la tierra,neutro
62,allpamuyuy,movimiento de traslación,positivo
63,allpanpa,superficial,neutro
64,allpapacha,continente,neutro
65,allpapachakak,natural,positivo
66,allpapachapampa,superficie de la tierra,neutro
67,allpapachapi tiyak chalwakuna,recursos ictiológicos,positivo
68,allpapachapi tiyak chukikuna,recursos mineros,positivo
69,allpapachapi tiyak yakukuna,recursos hidrográfico,positivo
70,allpapachapi tiyak yurakuna,recursos forestales,positivo
71,allpapachapi tiyakuna,recursos naturales,positivo
72,allpapiruruy,movimiento de rotación,positivo
73,allparantikillka,escritura,positivo
74,allpashuyu,mapa,neutro
75,allpashuyukamay,cartografía,neutro
76,allpawaklliyay,erosión,negativo
77,allpawira,petróleo,neutro
78,"allpawira, wisisi",petróleo,neutro
79,allpawku,subterráneo,neutro
80,allpañan,vía terrestre,negativo
81,allpañutuchina,desterronar,negativo
82,almut,almud (25 lib,neutro
83,ama llulla,honestidad,positivo
84,amapuna,traer,neutro
85,amaru,serpiente,neutro
86,amawta,científico,positivo
87,amawta yachay,contenido científico,positivo
88,amawtay,ciencia,positivo
89,amañana,adaptar,positivo
90,amañana,adaptar,positivo
91,amañarina,adaptarse,positivo
92,amañariy,adaptación,positivo
93,amita,sopa,neutro
94,ampana,bostezar,negativo
95,amsa,opaco,negativo
96,amsayana,ocultar el sol,neutro
97,amukay,suavidad,positivo
98,amulliy,poner algo en la boca,positivo
99,ana,lunar,neutro
100,anaku,falda,neutro
101,anchachilasa,antepasados,neutro
102,anchakuyay,pasión de vehemencia amorosa,positivo
103,anchallpa,globo terráqueo,neutro
104,anchallpakamay,geopolítica,neutro
105,anchayupay,importancia,positivo
106,anchuchina,"quitar, sustraer",negativo
107,anchuchiy,quitar,negativo
108,anchuna,"irse de casa, moverse de sitio",negativo
109,anchuriy,retirarse,negativo
110,anchuy,retirada,negativo
111,anka,gallinazo,neutro
112,ankana,volar,positivo
113,ankas,azul,neutro
114,ankas tapa wara,blue jean,neutro
115,ankay,ceremonial,positivo
116,ankichik,radio emisor,neutro
117,ankiyachik,radio receptor,neutro
118,anku,"vena, arteria",neutro
119,ankuyana,marchitarse envecer,negativo
120,anta,metal,neutro
121,antaki,plomo,neutro
122,antakullki,monedas,neutro
123,antanikik,computadora,neutro
124,antanikik chaski,correo electrónico,neutro
125,antapachachik,reloj mecánico,positivo
126,antawa,"coche, carro",neutro
127,antayari,radio,neutro
128,antayay,metalúrgico,neutro
129,antisuyu,región amazónica,positivo
130,apana,llevar,positivo
131,apanakuy,llevarse - relacionarse,positivo
132,apankara,cáncer(enfermedad,negativo
133,apankura,cáncer (signo,neutro
134,aparikanta,medios de transporte,neutro
135,aparina,cargar,neutro
136,apariykancha,medios de transporte,positivo
137,apay,"guiar, conducir",positivo
138,api,"colada, mazamorra",positivo
139,apuk,ancestros,positivo
140,apuk,líder-autoridad,positivo
141,apukkuna,autoridades,positivo
142,apukkuna tantaripacha,período de integración,positivo
143,apukkuna tantatripacha,período de integración,positivo
144,apuktukushka,emperador,neutro
145,apunchik,dios,positivo
146,apunchikamay,religión,positivo
147,apunchikwasi,iglesia,neutro
148,apuskachak,soberbio,negativo
149,apyayala,continente americano,neutro
150,apyayalapi chawchuri rikurimanta,racismo en américa,negativo
151,apyu,caballo,neutro
152,arawik,poeta,positivo
153,thiyu,arena,neutro
154,arina,estrenar,positivo
155,arinichina,convencer,positivo
156,arinina,"acceder, consentir",positivo
157,arininakuy,"acuerdo, tratado",positivo
158,arininakuy,"acuerdos, tratados",positivo
159,ayñi,arma,negativo
160,armana,bañar,positivo
161,ashanka,canasto,neutro
162,ashankayrumpa,básquet,neutro
163,ashnana,oler,positivo
164,ashtarina,"mobilizarse, transportarse, moverse.",positivo
165,asichik,hazmereír,negativo
166,asichisiki,chistoso,positivo
167,asina,reír,positivo
168,asinayay,"chistoso, que causa risa",positivo
169,asipayak,burlón,negativo
170,aspi,guión,positivo
171,aspina,"rascar, subrayar,",neutro
172,atallpa,gallina,neutro
173,atam,"parásito,",negativo
174,ataw,jóvez.,positivo
175,atawchay,fortuna,positivo
176,atawchayuk,afortunado,positivo
177,atina,vencer,positivo
178,atipay,conquista,positivo
179,atiy,poder,positivo
180,atsiyana,estornudar,negativo
181,atuk,lobo,neutro
182,atukamay,industria,neutro
183,atukay,industria,neutro
184,atukayashka pukuy,producción industrial,neutro
185,atyak,babosa,neutro
186,awaki,lunes,neutro
187,awaki puncha,lunes,neutro
188,awana,tejer,positivo
189,awayllamkay,obraje,neutro
190,awika,variedad,positivo
191,awka,"militar, soldado",neutro
192,awkakancha,ejército,neutro
193,awkarik puncha,martes,neutro
194,awkaruna,pagano,neutro
195,awkawasi,cuartel,neutro
196,awki,"principe, noble",positivo
197,aya uma,"personaje mitologico que lidera el inti raymi, materializacion de las energias de la pacha mama",positivo
198,aycha,carne,neutro
199,aycha,"carne, cuerpo",neutro
200,ayllu,familia,positivo
201,ayllu chariy,poseer familia,positivo
202,ayllu shuti,apellidos (antroponimio,neutro
203,ayllullanikipushak,monarquía,neutro
204,ayllumallki,arbol genealógico,positivo
205,ayllunikiyashka,grados de afinidad,positivo
206,aymuray,mayo,neutro
207,aymuray killa,mayo,neutro
208,aynikuy,participación,positivo
209,aynina,convivir,positivo
210,ayninakuy,participativa,positivo
211,ayriwa,abril,neutro
212,ayriwa killa,abril,neutro
213,aysana,"halar, cosechar",positivo
214,aysana,arrastrar,negativo
215,ayñi,arma,neutro
216,añaki,bacteria,negativo
217,añanku,hormiga,neutro
218,añas,zorro,neutro
219,añaw,virus,negativo
220,chachina,masticar,neutro
221,chakana,cruzar,negativo
222,chakariy,cruzamiento,neutro
223,chakata tullu,clavícula,neutro
224,chakcha,alabanza,positivo
225,chaki,pie,neutro
226,chaki ruka,dedo del pie,neutro
227,chaki sillu,uña del dedo del pie,neutro
228,chaki uku,planta del pie,neutro
229,chaki washa,talon,neutro
230,chakichina,secar,negativo
231,chakina,secar,negativo
232,chakishka,seco,negativo
233,chakishkapacha,sequía,negativo
234,chakllamanyachi,paralelogramo,positivo
235,chaklli,quìmico,neutro
236,chakllisinchi,química,neutro
237,chakra,sementera,neutro
238,chakrakamay,"agricultura, agrícola",positivo
239,chakrakamay,agricultura,positivo
240,chakrana,cultivar,positivo
241,chakrawiwakamay,agropecuaria,positivo
242,chakru,mixto o combinado,positivo
243,chakruy,composición,positivo
244,challay,rito,neutro
245,challay,rito,neutro
246,challwa,pez,neutro
247,challwa kapina,pescar,positivo
248,challwakamay,"pesca, pesquera, ictiología",positivo
249,chani,valor,positivo
250,chani–kuska,lugar turístico,positivo
251,chanichina,valorar,positivo
252,chanikuna,datos,positivo
253,chanina,valorar,positivo
254,chaniyay,valencia,neutro
255,chaniyuk,"caro, de valor en dinero",negativo
256,chanka,pierna,neutro
257,chantasu,llama,neutro
258,chapak,policía,positivo
259,chapak kamaypaktachi,intendencia de policía,positivo
260,chapak kamaypaktachi puhak,comando provincia de policía,positivo
261,chapak kamaypaktachi puhask,comando provincia de policía,positivo
262,chapana,vigilar,positivo
263,chapuna,mezclar,neutro
264,chapuri,composición,positivo
265,chapuriy,combinación,positivo
266,charik,rico,positivo
267,charikyana,"enriquecer, ganar dinero, acumular(se",positivo
268,charina,tener,positivo
269,charinayay,tesoro,positivo
270,charirashka rumpa,balón sostenido,positivo
271,charirashka yasiy,balón sostenido,positivo
272,charishkata killkakamachiy,registro de la propiedad,positivo
273,chashnalla,solamente asi o de esa manera.,neutro
274,chaska puncha,viernes,neutro
275,chaska rikuchik,telescopio,neutro
276,chaskakancha,constelación,positivo
277,chaskancha,constelación,neutro
278,chaski shuyulli,sello postal / timbre postal,neutro
279,chaskichik,recibo,neutro
280,chaskik,relevo,positivo
281,chaskilli,buzón de correo / casillero de correo,neutro
282,chaskina,recibir,positivo
283,chaskinancha,codominio,neutro
284,chawa,crudo,negativo
285,chawar,"cabuya, penco",neutro
286,chawcha,"delicado, fecundo, rápido de madurar",positivo
287,chawchuy,origen,neutro
288,chawpi,medio-mitad,neutro
289,chawpi kawsaypacha makanakuy,guerra medieval,negativo
290,chawpi pukcha,medio quintal,neutro
291,chawpi puncha,medio día,neutro
292,chawpi tuta,media noche,neutro
293,chawpi wata,medio año,neutro
294,chawpi yachay,segundo nivel de educación media,positivo
295,chawpihanika,media fanega 120 lb,neutro
296,chawpikakuna,medios,neutro
297,chawpikuska,semirrecta,neutro
298,chawpikutirik,media geométrica,neutro
299,chawpina,partir,negativo
300,chawpipampa,semiplano,neutro
301,chawpisuyu,región central,positivo
302,chawpiyak,media aritmética,neutro
303,chawpiyak chanikuna,medidas de tendencia central,neutro
304,chawpiyamuk,mediana,neutro
305,chawra,combustible,neutro
306,chayana,llegar,neutro
307,chayllatak,sinónimo,neutro
308,chayman,directo,neutro
309,chayniyak,distancia,neutro
310,chaypikana,asistir,positivo
311,chayra,aun,neutro
312,chayrak,todavia,neutro
313,chayrak ama,todavia no,neutro
314,chayshinaya,copia,neutro
315,chayshuk,"otro, otra (siguiente",neutro
316,chayshuk kawsay,otra vida,positivo
317,chaysinaya,copia,neutro
318,chaytalla,solamente,neutro
319,chaytu,fantasma,negativo
320,chichuna,fecundar,positivo
321,chika,tamaño/ verdad,neutro
322,chikan,diferente/ raro/ estraño,neutro
323,chikanchik iñu,punto aparte.,neutro
324,chikanchik iñu,punto aparte,neutro
325,chikanrakikyuk pakiyupaykuna,fracciones heterogéneas,neutro
326,chikanyana,diferenciar,neutro
327,chikanyay,diferente o distinto,neutro
328,chikchichak,coqueto/a,positivo
329,chikchichay,"coquetear, coqueteo",positivo
330,chiknina,odiar,negativo
331,chikta,"partido, resquebrajado",negativo
332,chiktana,"partir, rajar la madera",negativo
333,chilina,naranja,neutro
334,chillay,miércoles,neutro
335,chillay puncha,miércoles,neutro
336,chillka,chilca,neutro
337,chimay,descubrir una adivinanza,positivo
338,chimiyana,"surgir, emerger, germinar",positivo
339,chimlasay,bióxido de carbono,negativo
340,chimpamanyaypurachi,seno,neutro
341,chimpamanyaypurachimuy,cosecante,neutro
342,chimpamanyaypuramunchi,cosecante,neutro
343,chimpamanyaypuranchi,seno,neutro
344,chimpana,cruzar,neutro
345,chimpanakuy,antónimo,neutro
346,chimpapurachi,relación,positivo
347,chimpapuranakuna,debatir,positivo
348,chimpapuranakuy,debate,neutro
349,chimpapuraychiy,comparación o relacionamiento,neutro
350,chimpaykuchukuna,ángulo opuesto por el vértice,neutro
351,chinaku,"homosexual, gay",neutro
352,chinawakra,"hembra, femenino para animales",neutro
353,chinchaysuyu,norte,neutro
354,chiniku,minuto,neutro
355,chinilla,segundo,neutro
356,chinkana,"perderse, desaparecer",negativo
357,chinkay,perder,neutro
358,chinlli,desayuno,neutro
359,chiri,frío,neutro
360,chirikunuy,clima,neutro
361,chirimuya,chirimoya,neutro
362,chirina,hacer frio,negativo
363,chiriwrku,paramo,neutro
364,chishi,tarde,neutro
365,chita,"chivo, cabra",neutro
366,chiwila,piña,neutro
367,chucha,rapoza,negativo
368,chuchi,pollo,neutro
369,chuchu,seno,neutro
370,chuhama,nieto,neutro
371,chukchina,recoger la sobra,negativo
372,chukchu unkuy,paludismo,negativo
373,chukchuk,tembloroso,negativo
374,chukchuna,temblar,negativo
375,chuki,mineral,neutro
376,chukikamay,"minera, minería",negativo
377,chukillankay,mitas,negativo
378,chukllu,choclo,neutro
379,chukri,herida,negativo
380,chukrichiy,herir,negativo
381,chukrina,lastimarse,negativo
382,chukrishka,herido/a,negativo
383,chukriy,herir,negativo
384,chukriyku,ulcera,negativo
385,chuku,"casco, celada",neutro
386,chukuri,comadreja,neutro
387,chullachishka kutinkutinchikyuk puchu,diferencia de exponentes impares,neutro
388,chullachishka yupay,número impar,neutro
389,chullashka kimsamanyachi,triángulo escaleno,neutro
390,chullayashka yupay,número impar,neutro
391,chullpi,chulpi,neutro
392,chumpi,faja,neutro
393,chumpiku,cinta,neutro
394,chunka,"diez, 10",neutro
395,chunka shuk,"once, 11",neutro
396,chunkachik hillay,material decimal,neutro
397,chunkachishka yupaychikakunata,representación polinómica del,neutro
398,chunkakri,décimo,neutro
399,chunkalli,decimal,neutro
400,chunkana,juego de azar,neutro
401,chunkayllichik,sistema decimal,neutro
402,chuntapalashka,embrujado,negativo
403,chupu,tumor,negativo
404,churana,"ropa, ponerse la ropa, llevar puesto",neutro
405,churanakuna,vestimenta,neutro
406,churi,hijo,neutro
407,churu,caracol,neutro
408,chushak,vacío,neutro
409,chushik,lechuza,neutro
410,chusku,"cuatro, 4",neutro
411,chusku chunka,"cuarenta, 40",neutro
412,chusku patsak,"cuatrocientos, 400",neutro
413,chuskuchishka pampa,plano bidimensional (cartesiano,neutro
414,chuskumanyachi,cuadrilátero,neutro
415,chuspi,mosca,neutro
416,chutana,halar,neutro
417,chutarik,elasticidad,positivo
418,chutarina,"estirarse, ponerse en el suelo",neutro
419,chuya,aguado,negativo
420,chuyaklla yaku,agua potable,positivo
421,chuyakllachina,potabilizar,positivo
422,chuyakllachiy,potabilización,positivo
423,chuyayana,asear,positivo
424,chuyayay,desinfección,positivo
425,chuyayay,aseo,positivo
426,hachun,"nuera, cuñada",neutro
427,hallmana,desyerbar,positivo
428,hampatu,rana,neutro
429,hampi,"curación, medicina",positivo
430,hampik ikay,seguro medico,positivo
431,hampikillkalli,receta medica,positivo
432,hampina,curar,positivo
433,hampiwasi,"centro de salud, hospital",positivo
434,hamuktana,entender,positivo
435,hamutana,comprender:,positivo
436,hamutay,comprensión/ comprender,positivo
437,hanika,fanega,neutro
438,hankana,desequilibrar,negativo
439,hankay,desequilibrio,negativo
440,hantsa,páncreas,neutro
441,hapina,"coger, agarrar",neutro
442,haplla,descomedido,negativo
443,harkana,atrancar,negativo
444,harkana,cercar,neutro
445,harkarina,tolerancia,positivo
446,harkariy,atascarse,negativo
447,harkashka shimiki,sílabas trabadas.,negativo
448,hatarikuna,manifestaciones,neutro
449,hatariy,levantamiento,neutro
450,hatun,grande,neutro
451,hatun apuktukushka,señoríos,neutro
452,hatun hallmay,aporque,neutro
453,hatun hatun runa,gigante,neutro
454,hatun ishpa,caca,negativo
455,hatun kahas,macizo (montaña grande,positivo
456,hatun kaksas,macizo (montaña grande,positivo
457,hatun mama,abuela,negativo
458,hatun paktay,objetivo general,positivo
459,hatun rikuchik,indicador general,positivo
460,hatun wankurikuna,organizaciones nacionales,positivo
461,hatun yachay,tercer nivel de educación superior,positivo
462,hatun yaya,abuelo,neutro
463,hatuna,vender,positivo
464,hatuna pampa,mercado,neutro
465,hatuna wasilli,"kiosko, chiringuito",neutro
466,hatunkay,grandeza,positivo
467,hatunkillka,mayúscula,neutro
468,hatunkucha,mar,neutro
469,hatunyachanawasi,universidad,neutro
470,hawa,arriba,neutro
471,hawachiy,alzar,positivo
472,hawahawalla,superficialmente,negativo
473,hawakara,epidermis,neutro
474,hawakarak,"epidermico, relativo a la epidermis",neutro
475,hawalla,superficial,negativo
476,hawalla shimiki,sílaba simple.,neutro
477,hawallallpa,suelo,neutro
478,hawapacha,"espacio, cielo",neutro
479,hawaykawsay,civilización,neutro
480,hawchashka,ensalada,neutro
481,hayak,"amargo, hiel, bilis",negativo
482,hayak muyu,pimienta,neutro
483,haytaypukllay,futbol,neutro
484,hayñi,derecho,positivo
485,hikama,jícama,neutro
486,hillay,implemento,neutro
487,hillaykuna,instrumentos,neutro
488,hillaysapa,aparato,neutro
489,hilli,sopa,neutro
490,hita,pozo,neutro
491,hondonada,pukru,neutro
492,huchu kiru,muela,neutro
493,huku ukuyayllika,secreccion endogeno,neutro
494,hukukanllayay,secrecion exogeno,neutro
495,hukurillawsallika,sistema excretor,neutro
496,humpi,sudor,negativo
497,humpina,sudar,neutro
498,hunina,conjugar,neutro
499,hunkay,semana,negativo
500,hunkay,semana,negativo
501,hunta,lleno,negativo
502,hunu,"millón, 1000000",neutro
503,hutkunantak,taladro,neutro
504,huña,moco,negativo
505,ichanik,duda,negativo
506,ichanik yuyal,oración dubitativa.,positivo
507,ichanik yuyay,oración dubitativa,positivo
508,illak,"cero, 0",neutro
509,illana,"no haber, ausentar",negativo
510,illapa,arma de fuego (escopeta,negativo
511,illay,faltar,negativo
512,ima rikunchikuna,causa,neutro
513,imachik,verbo,neutro
514,imachik yuyayki,frase verbal,neutro
515,imachikkuna,verbos,neutro
516,imak,sujeto,neutro
517,imakak,característica,positivo
518,imakay,concepto.,neutro
519,imakay,concepto,neutro
520,imakay sapsikuna,características generales,positivo
521,imakaychina,conceptualizar,positivo
522,imakaychinamanta,conceptualización,positivo
523,imallichik,adverbio,neutro
524,imamantachiy,justificación,positivo
525,imanik,predicado,neutro
526,imapash,cualquier cosa,neutro
527,imarayku,causas,negativo
528,imaruran,consecuencias,neutro
529,imaruray,función,neutro
530,imashinakan,formas,neutro
531,imatukuna,acontecer.,positivo
532,imatukuna,acontecer,positivo
533,imatukuy,"acontecimiento, suceder",positivo
534,imayay,materia,neutro
535,imaykuna,elementos,neutro
536,imilla,adolescente (hombre),neutro
537,inchi,maní,neutro
538,inti,"sol, (intipuncha) domingo",neutro
539,inti llika,sistema solar,positivo
540,inti puncha,domingo,neutro
541,inti suyu,este,positivo
542,intikinrayllipyay,solsticios,positivo
543,intillayayllipyay,equinoccio,positivo
544,intillika,sistema solar,positivo
545,intiraymi,fiesta de sol,positivo
546,intishayakllipyay,equinoccio,positivo
547,intiwayllashka,fotosíntesis,positivo
548,ishkantinpurachi,sobreyectiva,neutro
549,ishkay,"dos, 2",neutro
550,ishkay chunka,"veinte, 20",neutro
551,ishkay patsak,"docientos, 200",neutro
552,ishkaychishka kutinkutinchikyuk yapa,suma de potencias con exponente par,neutro
553,ishkaychishka yupay,número par,neutro
554,ishkaykillkanancha kutinchiy,factorización de binomios,neutro
555,ishkaymanpurachi,biyectiva,neutro
556,ishkayniki kallari yachay,segundo nivel,neutro
557,ishkaynikichishka iñu,par ordenado,positivo
558,ishkaynipa yuyal,oración bimembre,positivo
559,ishkaynipa yuyay,oración bimembre,positivo
560,ishkaypakta kimsamanyaychi,triángulo isósceles,neutro
561,ishpa phuru,vejiga,neutro
562,iskun,"nueve, 9",neutro
563,iskun chunka,"noventa, 90",neutro
564,iskun patsak,"novecientos, 900",neutro
565,ismuwanu,compost,neutro
566,isru,aro,neutro
567,iwila,shampoo natural (planta,positivo
568,iñina,creer,positivo
569,iñiy,"creencia, creer",positivo
570,iñu uchilla suyukuna,puntos colaterales,positivo
571,iñuku,átomo,neutro
572,iñuwa,molécula,neutro
573,kachachik,imperativo,positivo
574,kachachik yuyay,oración imperativa,positivo
575,kachamuna,"mandar, enviar",positivo
576,kacharishka,libre,positivo
577,kachi,sal,neutro
578,kachipurawa,borraja,neutro
579,kahaskancha,cordillera,negativo
580,kahasmuku,nudos (de cordillera,negativo
581,kakatsu,lagaña,negativo
582,kakchiy,definición,positivo
583,kakrikuchina,describir.,positivo
584,kakrikuchina,describir,positivo
585,kaksaskancha,cordillera,neutro
586,kaksaskuna,accidentes geográficos,negativo
587,kaksasmuku,nudos (de cordillera,negativo
588,kaksasuyu pampa,area andina,positivo
589,kaktarikuchik,físico (estructura,positivo
590,kakunamaki,desafío,negativo
591,kakwillay,certificado,positivo
592,kakwillay,certificado.,positivo
593,kalak,débil,negativo
594,kalak,débil,negativo
595,kallampa,hongo,neutro
596,kallanpa,hongo,neutro
597,kallari yachay,primer nivel de educación básica,positivo
598,kallari yuyay,introducción,positivo
599,kallarillaktayku,primeros pobladores,positivo
600,kallarinancha,dominio,positivo
601,kallariy,"presentación, inicio",positivo
602,kallariy yachay,educación básica.,positivo
603,kallariyuyay,presentación,positivo
604,kallpa,vigor,positivo
605,kallpana,correr,positivo
606,kallpanakuy,atletismo,positivo
607,kallpay,correr,neutro
608,kalluwatariy,trabalengua,neutro
609,kamachashka,protegido,positivo
610,kamachay,proteger,positivo
611,kamachik,"legislador, consejero",positivo
612,kamachik atiy,poder legislativo,positivo
613,kamachik wasi,corte superior de justicia,positivo
614,kamachikamay,administración,positivo
615,kamachikkuna,leyes,positivo
616,kamachina,"consejo, exhoracion",positivo
617,kamachipuk,legislativo,positivo
618,kamachipuk tay,poder legislativo,positivo
619,kamachipuy,legislar,positivo
620,kamachiy,aconsejar,positivo
621,kamakay,higiene,positivo
622,kamana,cuidar/ abundancia,positivo
623,kamanayay,precaución,positivo
624,kamari,regalo,positivo
625,kamari,ofrenda,positivo
626,kamay,cuidar/proteccion,positivo
627,kamay paktachi atiy,poder judicial,positivo
628,kamayku,evaluación,neutro
629,kamaykuchiy,verificación,positivo
630,kamaykuna,evaluar,neutro
631,kamaykurina,auto evaluar.,positivo
632,kamaykurina,auto evaluar,positivo
633,kamaykuriy,auto-evaluación,positivo
634,kamaykuy,evaluación,neutro
635,kamaypakta,mandato,negativo
636,kamayuk,"cuidador, facultades de autoridad",neutro
637,kamayuk wasi,ministerio,neutro
638,kamikuy,agravio,negativo
639,kamu,libro,neutro
