,Kichwa,Spanish,Etiqueta
640,kamukuska,biblioteca,neutro
641,kamuti,camote,neutro
642,kamuyachik,imprenta,neutro
643,kan,tú,neutro
644,kana,ser / estar,neutro
645,kancha,afuera,neutro
646,kancha shuti,sustantivo colectivo,neutro
647,kanchachani milka,cuadro estadístico,neutro
648,kanchachani shuyu,gráfico estadístico,neutro
649,kanchachanikamay,estadística,positivo
650,kanchaman,hacia fuera,neutro
651,kanchayashka,convexo,neutro
652,kanchis,"siete, 7",neutro
653,kanchis chunka,"setenta, 70",neutro
654,kanchis patsak,"setecientos, 700",neutro
655,kankuna,ustedes / vosotros,neutro
656,kanllayay,externo,neutro
657,kapak,diciembre,neutro
658,kapak apuk,gobierno,neutro
659,kapak killa,diciembre,neutro
660,kapak llakta,reino,neutro
661,kapak saylla,meridiano,neutro
662,kapak shuyu,mapa político,neutro
663,kapakchi tantanakuy,organización política,neutro
664,kapakchunkana,ajedréz,neutro
665,kapakkamay,política,neutro
666,kapakllakta,imperio,positivo
667,kapakmarka,"imperio, reinado",positivo
668,kapaktukukamay,politica,neutro
669,kapasaylla,meridiano,neutro
670,kapisayu,"poncho, alargado y entero (kitukara).",neutro
671,kapisayu,"poncho, alargado y entero",neutro
672,kapuk,producto,neutro
673,kapulli,capulí,neutro
674,kara,"corteza, piel, cáscara",neutro
675,karana,dar regalo.,positivo
676,karaskruyuwa,crustáceos,neutro
677,kari,hombre,neutro
678,kari atallpa,gallo,neutro
679,karilla,gallardo,positivo
680,karipurakuyay,homosexualidad,neutro
681,kariwarmikanakamay,sexualidad,neutro
682,karkanka,esqueleto,neutro
683,karkay,vertebrado,negativo
684,karu,lejos,negativo
685,karuwillay,telegrama,neutro
686,karuyari,teléfono,neutro
687,karuyarik wasilli,cabina telefonica,negativo
688,karwa,llovizna,negativo
689,karway killa,agosto,neutro
690,kasha,espina,negativo
691,kashakarayukwa,equidermos,neutro
692,kasi,"tranquilo, quieto",positivo
693,kasik,paz,positivo
694,kasilla,tranquilidad,neutro
695,kasku,pecho,neutro
696,kasku tullu,esternón,neutro
697,kaspana,chamuscar,negativo
698,kaspi,"palo, madera",neutro
699,kaspimakana,espada,neutro
700,katana,cubrir,positivo
701,katariy,levantamiento,positivo
702,kati paktachik,complemento indirecto.,negativo
703,katichay,prosa,neutro
704,katichina,imitar.,negativo
705,katik iñu,punto seguido.,neutro
706,katik iñu,punto seguido,neutro
707,katik paktachik kp,complemento indirecto,negativo
708,katikmanyaypurachi,coseno,neutro
709,katikmanyaypuramuchi,secante,neutro
710,katikmanyaypuramunchi,secante,neutro
711,katikmanyaypuranchi,coseno,neutro
712,katiknina,narrar,positivo
713,katikunkuy,epidemia,negativo
714,katina,seguir,positivo
715,katinalla,modelo,positivo
716,katinti yupaykuna,series numéricas,neutro
717,katisuyu rikuchik iñu,puntos colaterales,negativo
718,katsu,escarabajo,neutro
719,katuranti,negocio,positivo
720,katuy,vender,positivo
721,katuyranti,feria,positivo
722,katuyrantin chani,el valor del intercambio,positivo
723,katuyrantin chani,el valor del intercambio,positivo
724,kawalli,"lente, gafas",neutro
725,kawana,cantar,positivo
726,kaway,observación.,positivo
727,kawchuna,torcer,negativo
728,kawi,rombo,neutro
729,kawikuk,romboide,neutro
730,kawilli,camilla,neutro
731,kawitu,mueble,neutro
732,kawpuna,torcer,negativo
733,kawsa marka runa,nacionalidades.,positivo
734,kawsakkuna,seres,positivo
735,kawsana,vivir,positivo
736,kawsay,"cultura, vida",positivo
737,kawsay killka,biografía,positivo
738,kawsay killkamachiy,registro civil,neutro
739,kawsay mallki,herencia genética,positivo
740,kawsaykuk,célula,neutro
741,kawsaykuktantalli,tejido,neutro
742,kawsaymarka,nacionalidad,positivo
743,kawsaypacha,medio ambiente,positivo
744,kawsaypura,interculturalidad,positivo
745,kawsayrikcha,novela,positivo
746,kawsayrikcha,novela,positivo
747,kawsayshuktakayariy,aculturación,positivo
748,kawsayta chikipi churashpa,poniéndose en peligro,negativo
749,kawsayuk,célula,neutro
750,kay,aquí,neutro
751,kaya,mañana,neutro
752,kayachina,convocar,neutro
753,kayana,invitar/ llamar,positivo
754,kayna,ayer,neutro
755,kaytarikuchi,estados fìsicos,positivo
756,kaytu,nervio,neutro
757,khallu,lengua,neutro
758,khari,masculino,neutro
759,khiwa,hierva,neutro
760,khura,maíz germinado,positivo
761,khuyana,amar,positivo
762,khuzu,larva de escarabajo,neutro
763,kichankuy,cólera,negativo
764,kichkikuchu,ángulo agudo,neutro
765,kichkikuchu kimsamanyachi,triángulo acutángulo,neutro
766,kichkikuchu kimsamanyaychi,triángulo acutángulo,neutro
767,kichuy,arrebatar,negativo
768,kichwa llika,alfabeto kichwa,neutro
769,kikin,usted,neutro
770,kikin shuti,nombre propio,neutro
771,kikinkuyari,autoestima,positivo
772,kikinllatak,consigo mismo,neutro
773,kikinmanta,atentamente,positivo
774,kikinmutsuri,autoconsumo,negativo
775,kikinrimay,idiolecto,neutro
776,kikinruray,costumbres,neutro
777,kikinyari,identidad,neutro
778,kikinyarina,identificar – apropiar,positivo
779,kiliki,quilico,neutro
780,kilkawana,redactar,neutro
781,killa,luna,neutro
782,killa,mes,neutro
783,killanturi,eclipse lunar,positivo
784,killanturiy,eclipse lunar,positivo
785,killapa nikirakiri,fases de la luna,neutro
786,killimsa rumi,carbón de piedra,neutro
787,killka kamachik,regla ortográfica,neutro
788,killka katina,leer,neutro
789,killkakatiyuk,escritor,neutro
790,killkana,escribir,neutro
791,killkanancha,término algebraico,neutro
792,killkananchakamay,álgebra,neutro
793,killkananchapurachina,reducción de términos semejantes,neutro
794,killkananchaychi,expresión algebraica,neutro
795,killkapa unancha,signo de puntuación,neutro
796,killkapa unancha,signo de puntuación,neutro
797,killkawana,redactar,neutro
798,killkaya,carta,neutro
799,killkayachay,tema - teoría,neutro
800,killkayrimay,obra literaria,neutro
801,killpa,capa,neutro
802,killpak kushma,"sweater, saco",neutro
803,killu,amarillo,neutro
804,killu sara,maíz amarillo,neutro
805,kimi killka,coeficiente o parte literal,neutro
806,kimi yupay,coeficiente numérico,positivo
807,kimina,acercar,neutro
808,kiminancha,coeficiente,positivo
809,kimirik,contigüos,neutro
810,kimirik kuchukuna,ángulos contiguos o adiacentes,neutro
811,kimirishka yuyay,oración subordinada,negativo
812,kimiriy,acercarse,neutro
813,kimpu,mandíbula-quijada,neutro
814,kimraymaya,hipotenusa,neutro
815,kimsa,tres-3,neutro
816,kimsa chunka,treinta-30,neutro
817,kimsa kilkanancha kutinchiy,factorización de trinomios,neutro
818,kimsa patsak,trecientos-300,neutro
819,kimsachishka kullka,prisma triangular,neutro
820,kimsachishkapa tawa,trinomio cuadrado perfecto,neutro
821,kimsakamachik,regla de tres,neutro
822,kimsakamachimuk,regla de tres inversa,neutro
823,kimsakamachiyak,regla de tres simple,neutro
824,kimsakilkanancha kutinchiy,factorización de trinomios,neutro
825,kimsamanyachi,triángulo,neutro
826,kimsamanyachikamay,trigonometría,neutro
827,kimsamanyapurachi,relaciones trigonométricas,neutro
828,kimsaniki kallariy yachay,tercer nivel de educación básica,positivo
829,kimsaniki kallariyachay,tercer nivel,positivo
830,kimsapaktamanyachi,triángulo equilátero,neutro
831,kincha,corral,neutro
832,kinchak,corchetes,neutro
833,kinku,curva,neutro
834,kinkuk,paréntesis,neutro
835,kinraymanya,hipotenusa,neutro
836,kinrayshuyu,función,neutro
837,kinti,picaflor,positivo
838,kinuwa,quinoa,positivo
839,kipapakchiruray,proyecto,neutro
840,kipapakchiruray yachay,proyecto de aula,positivo
841,kipilli,paquete,neutro
842,kiri,llaga,negativo
843,kirkinchu,armadillo,neutro
844,kiru,árbol,positivo
845,kishparik,independencia,neutro
846,kishpichina,perdonar,positivo
847,kishpiripacha,liberalismo,neutro
848,kishuar,quishuar,neutro
849,kita,brioso,positivo
850,kiti,cantón,neutro
851,kiti apuk,jefe político,neutro
852,kiti kamaklli,concejal,neutro
853,kiti kapachik apuk,comisario nacional,neutro
854,kitikapak,capital provincial,positivo
855,kitilli,parroquia,neutro
856,kitilli apuk,teniente político,neutro
857,kucha,lago,neutro
858,kuchaku,laguna,neutro
859,kuchawpi,bicectriz,neutro
860,kuchi,cerdo,neutro
861,kuchulla,cerca,neutro
862,kuchupatay,grado angular,neutro
863,kuku,libra,neutro
864,kukulli,paloma,positivo
865,kulla,enero,neutro
866,kulla killa,enero,neutro
867,kullasuyu,región sur,neutro
868,kullka,prisma,neutro
869,kullka puncha,jueves,neutro
870,kullkikamak wankuri,asociación bancaria,neutro
871,kullkikamak wankuriy,asociación bancaria,neutro
872,kullkikamak wasi,banco-mutua-cooo-corporación-financiera,neutro
873,kullkikamay,economía,neutro
874,kullkikamay kamu,libro contable,neutro
875,kullkikamay shinayachi,conmutabilidad bancaria,neutro
876,kullkikamaychik,sistema contable,positivo
877,kullkikikinchik,póliza,neutro
878,kullkilli,billetes de denominacion baja-pequeños,negativo
879,kullkimantawankuri,organización económica,positivo
880,kullkimashnayachik,presupuesto,positivo
881,kullkiminkay kamu,libro banco,positivo
882,kullkipatsakri,impuesto,neutro
883,kullkirayku hatun tantanakuy,grandes bloques económico,positivo
884,kullkirayku llankay,actividad económica,positivo
885,kullkiyuk,capitalista,neutro
886,kullku,tronco,neutro
887,kulta,pato,neutro
888,kumuriy,inclinarse,neutro
889,kuna,dar,positivo
890,kunakuy,ofrecer,positivo
891,kunakyuyayku,refrán,positivo
892,kunan,presente,positivo
893,kunan pacha,tiempo presente,neutro
894,kunan yallishka,participio,neutro
895,kunana,consejo,positivo
896,kunanyallishka,participio,neutro
897,kunka,garganta-cuello,neutro
898,kunka tullu,nuca,neutro
899,kunkaklla,olvidadiso,negativo
900,kunkallina,bufanda,neutro
901,kunkariy,olvidarse,negativo
902,kunkashka,olvidado,negativo
903,kunkay,olvidar,negativo
904,kunkaycha,negligencia-descuido,negativo
905,kunkaychashka,descuidado-negligente,negativo
906,kunkaychay,descuidar,negativo
907,kunkaychiy,omisión-omitir,neutro
908,kunkaylla,tranquilo-en reposo,positivo
909,kunkuri,rodilla,positivo
910,kunkuriy,arrodillarse,neutro
911,kuntisuyu,occidente,neutro
912,kuntur,condor,neutro
913,kunuk,caliente,neutro
914,kunuk allpa,costa,neutro
915,kunuk yaku,agua termal,neutro
916,kunukuy,carbohidrato,positivo
917,kupa,rastrojo,neutro
918,kupa,basura,negativo
919,kurikinka,curiquingue,neutro
920,kurpa,masa amasado,neutro
921,kurpa,terrón,neutro
922,kurpa,enano,neutro
923,kurpañutuchi,desterronamiento,negativo
924,kuru,gusano,negativo
925,kurun anta,motocicleta-moto,neutro
926,kururuna,ovillar,negativo
927,kuruta,testículo,neutro
928,kusa,esposo-marido,neutro
929,kusana,asar,neutro
930,kushi,alegre,positivo
931,kushikuy,emoción,positivo
932,kushillu,mono,neutro
933,kushipatak,sacerdote,neutro
934,kushiyay,alegria,positivo
935,kushkapaktay,puntualidad,positivo
936,kushma,camisa,neutro
937,kushpana,saltar,neutro
938,kushpana,saltar,neutro
939,kuska,parte-sitio-lugar-dirección,neutro
940,kuska imallichik,adverbio del lugar,neutro
941,kuskallpayku,subterráneo,neutro
942,kuskayupay chani,valor relativo,positivo
943,kuski,septiembre-frondoso-abundancia,positivo
944,kuski killa,septiembre,neutro
945,kuskina,analizar,positivo
946,kuskunku,buho,neutro
947,kutachik,molinero,neutro
948,kutana,molino,neutro
949,kuticharina,rescatar,positivo
950,kutichina,responder,neutro
951,kutichiy,responder,neutro
952,kutin,vez-veces,neutro
953,kutinchi,múltiplo,neutro
954,kutinchichiy,factorización,neutro
955,kutinchik millka,tabla de frecuencias,neutro
956,kutinchiklla,frecuencia absoluta,neutro
957,kutinchina,repetir,neutro
958,kutinchina,repetir,neutro
959,kutinchishka yupaykuna,números múltiplos,positivo
960,kutinchiy,multiplicación,neutro
961,kutinkutinchik,exponente,neutro
962,kutinkutinchiy,potenciación,neutro
963,kutinkutinmuchiy,radicación,neutro
964,kutinkutirik,base de potencia,neutro
965,kutinriksina,reconocer,positivo
966,kutirichiy,convertirse,neutro
967,kutirik,factor común,neutro
968,kutirik taripay,búsqueda del factor común,positivo
969,kutsana,rasgar,negativo
970,kutsi,ligero,positivo
971,kutsiy,agilidad,positivo
972,kuwartilla,cuartilla,neutro
973,kuy,cuy-conejillo de indias,neutro
974,kuya,reina-emperatriz-soberana del incario-señora-dama,positivo
975,kuyak,acariciador,positivo
976,kuyana,amar,positivo
977,kuyashka,amante,negativo
978,kuyaylla,hermosa-linda,positivo
979,kuyka,lombríz,neutro
980,kuykakamay,lombricultura,positivo
981,kuyllur,asterisco,neutro
982,kuytsa,joven-adolescente-mujer,neutro
983,kuyurihillanta,máquina,neutro
984,kuyuy,mover,neutro
985,lachuri,hijastro,neutro
986,shayak allpa,ladera,neutro
987,lamama,madrastra,neutro
988,lancha,tizón,negativo
989,lapani,hermanastra,neutro
990,laushi,hijastra,neutro
991,lawawki,hermanastro,neutro
992,layaya,padrastro,neutro
993,llachak,vegetal,neutro
994,llachakamay,flora,positivo
995,llachapashka,remendado,neutro
996,llachapay,remendar,neutro
997,llachapayuk,remendon,neutro
998,llaki,triste,negativo
999,llaki,tristeza,negativo
1000,llakichik,perjuicios,negativo
1001,llakichik wallpariykuna,formas de explotación,neutro
1002,llakichipacha,la colonia,neutro
1003,llakichiy,explotación,negativo
1004,llakilla,triste,negativo
1005,llakitukuy,desastre,negativo
1006,llakta,pueblo,neutro
1007,llakta ushay,democracia,positivo
1008,llaktakay,pueblos,neutro
1009,llaktamanta llukshiri,migración,neutro
1010,llaktapak ushay,democracia,positivo
1011,llaktari allpa,territorio,neutro
1012,llaktarimay,dialecto,positivo
1013,llaktay,pueblo,neutro
1014,llaktayku,población,neutro
1015,llaktushay,democracia,positivo
1016,llakushi,sentimiento,neutro
1017,llama,llama-oveja,neutro
1018,llamkaypaktachi,función rol,neutro
1019,llamkaywillay,informe,neutro
1020,llamkayñan,planificación,positivo
1021,llampu,liso,neutro
1022,llankahillay,equipos,neutro
1023,llankamana,inutil,negativo
1024,llankanauku,oficina,neutro
1025,llankanaukuk,oficinista,neutro
1026,llankayñan,planificación,positivo
1027,pampa,llano-campo,neutro
1028,llantu,sombra,neutro
1029,llanturiy,eclipse,neutro
1030,llapiriy,presión,neutro
1031,llashachik,balanza,neutro
1032,llashak,masa y peso,neutro
1033,llashak tupu,medida de masa,neutro
1034,llatanay,descubrirse-sacarse la ropa,positivo
1035,llawsayachik,endòcrino,neutro
1036,llawsayari,viscosidad,negativo
1037,llawtu,corona-diadema,neutro
1038,llichayuk,dichoso,positivo
1039,llika,sistema,neutro
1040,llika yachay wasikuna,redes educativas,positivo
1041,llika,estructura,neutro
1042,lliwitupu,radianes,neutro
1043,lluki,izquierdo,neutro
1044,lluki maki,mano izquierda,neutro
1045,llullana,mentir,negativo
1046,llullu,tierno,positivo
1047,llumpak,limpio,positivo
1048,llumpakay,virginidad,positivo
1049,llumpakshunku,castidad,positivo
1050,llushpichiy,despegar,neutro
1051,llutachina,pegar,neutro
1052,llutariy,magnetismo,neutro
1053,tula,loma,neutro
1054,lulun,huevo,neutro
1055,lumu,yuca,neutro
1056,lutsay,proporción-proporcionalidad,neutro
1057,lutsaychishpa raki,reparto proporcional,neutro
1058,lutsaykumuk,proporción armónica o inversa,positivo
1059,lutsaykutinchik,frecuencia relativa,neutro
1060,lutsaykuyak,proporcionalidad inversa,neutro
1061,lutsaysapayak,proporcionalidad directa,neutro
1062,machana,emborrachar,negativo
1063,machu,tuerto,negativo
1064,makana,pegar,neutro
1065,makanakuy,guerra,negativo
1066,makanakuy runakuna,guerreros,negativo
1067,makay,golpe-pegar-agravio,negativo
1068,maki,mano,neutro
1069,maki hawa,palma de la mano,neutro
1070,maki ruka,uña del dedo de la mano,neutro
1071,maki washa,dorso de la mano,neutro
1072,maki,manilla-pulsera,neutro
1073,makillina,guante,neutro
1074,makimañachi,colaboración mutua,positivo
1075,makimañachiy,prestación de mano para el trabajo,neutro
1076,makimañashpa,una mano de ayuda,positivo
1077,makimañay,pedir la mano para casarse,positivo
1078,makipakchiruray,artesanía,neutro
1079,makirumpay,voleibol,neutro
1080,makirurashka,manualidad,neutro
1081,makiruray,artesanía,neutro
1082,makiruraykamay,artesanía,neutro
1083,makiyasiy,voleibol,neutro
1084,maklluy,peligro,negativo
1085,maklluy,peligro,negativo
1086,mallina,probar-saborear,neutro
1087,mama,madre-mamá,positivo
1088,mama chanka,muslo,neutro
1089,mama chumpi,faja-madre,neutro
1090,mama kullki kamachi,regla de interés,neutro
1091,mamakamachik,constitución,neutro
1092,mamakucha,océano,neutro
1093,mamakullki,capital,neutro
1094,mamallakta,país,neutro
1095,mamallakta kallaripa tantanakuy,asamblea constituyente,neutro
1096,mamallakta kawsay kallari,vida republicana,neutro
1097,mamallakta michari,defensa nacional,positivo
1098,mamallakta pura kapak kamay,política exterior,neutro
1099,mamallaktachiy,estado,neutro
1100,mamallaktapa apukwasi,palacio de gobierno,neutro
1101,mamallaktapa haylli,himno nacional,positivo
1102,mamallaktapa kapak,nacionalista,neutro
1103,mamallaktapak tantanakuy,estado,neutro
1104,mamallaktapura kullkikulka,fondo monetario internacional-fmi,neutro
1105,mamayakunta mintalay,comercio marítimo,neutro
1106,mana alli,mal-malo,negativo
1107,mana rikshka antakuna,los ovnis,neutro
1108,mana riksishka,extraño,neutro
1109,mana tukurik,infinito,neutro
1110,manahaykapash,nunca jamas,neutro
1111,manapakiyak yupay,número irracional,neutro
1112,manapipash,nadie-ninguno,neutro
1113,manarak turuwan makiruray pacha,período precerámico,neutro
1114,manashuwak,honrado,positivo
1115,manañakcharishka,despinado,negativo
1116,manchay,temer,negativo
1117,manllariy,asustarse,negativo
1118,manllay,temer-tener miedo,negativo
1119,manuchaskiy,cobrar,positivo
1120,manya,borde-lado,neutro
1121,manyaku,cateto,neutro
1122,manyakupurachi,tangente,neutro
1123,manyakupuramuchi,cotangente,neutro
1124,manyakupuramunchi,cotangente,neutro
1125,manyapikakkuna,extremos,neutro
1126,manyatupu,perímetro,neutro
1127,manña,borde-orilla,neutro
1128,mapayashka,obsceno,negativo
1129,mapayay,pornografía,negativo
1130,marka kamachik,prefecto,positivo
1131,markakamachiklli,consejero provincial,positivo
1132,markapuk,gobernador,neutro
1133,masha,yerno-cuñado,neutro
1134,mashi,amigo,positivo
1135,mashipurari,relación mutuo,neutro
1136,mashkaychani,incógnita,neutro
1137,mashnayachi,conocimiento de cantidad o cálculo,positivo
1138,mashnayachina,calcular,positivo
1139,mashnaykuna,cantidad,neutro
1140,mashu,murciélago,neutro
1141,mashuwa,mashua,neutro
1142,maskana,buscar,neutro
1143,maskaypacha,corona,neutro
1144,masma yachak,ingeniero,positivo
1145,masmana,construir,positivo
1146,masmay,armar,positivo
1147,mawkana,usar,neutro
1148,may kutinchikuna,productos notables,neutro
1149,may mutsuri,importantes,positivo
1150,may rakikuna,cocientes notables,neutro
1151,mayalli,indispensable,neutro
1152,maychani,importancia,neutro
1153,mayhatun,macro,neutro
1154,maykanpash,cualquiera,neutro
1155,maykutinchikuna,productos notables,neutro
1156,maymachariy,alcoholismo,negativo
1157,maymutsurik,importante,positivo
1158,maymutsuriy,importancia,positivo
1159,maypakchiruray,arte,positivo
1160,mayrakikuna,cocientes notables,neutro
1161,mayu,río,neutro
1162,mayuchilla,micro,neutro
1163,maywa,morado-violeta,neutro
1164,maywana,enamorar,positivo
1165,maywana,enamorar,positivo
1166,mañana,pedir,neutro
1167,mañay,solicitud,neutro
1168,mi si,gato,neutro
1169,michachikanyay,descomposición de la energía,negativo
1170,michina,pastar,neutro
1171,mika,plato de madera,neutro
1172,miklla,treinta libras,neutro
1173,mikuna,comer,positivo
1174,mikuy,alimento,positivo
1175,milchina,manipular,negativo
1176,milchina,palpar,neutro
1177,milchinay,experimentar,neutro
1178,milka,párrafo-cuadro,neutro
1179,milkachishka,cuadro sinóptico,positivo
1180,milkachishka killka,cuadro sinóptico,positivo
1181,milkakinrayshuyu,histograma,positivo
1182,millanayay,feo,negativo
1183,millaymakay,feo,negativo
1184,millkashuyu,gráfico de barras,neutro
1185,milluku,melloco,neutro
1186,minchakama,despedida-próxima ocasión,negativo
1187,minchayana,despedirse,negativo
1188,minchayana (w),despedirse,negativo
1189,minkana,encargar,neutro
1190,minkarik,huesped,neutro
1191,mintala,comerciante,neutro
1192,mintalana,comercializar,neutro
1193,mintalanayay,comercializaciòn,neutro
1194,mintalay,comercio,neutro
1195,mintu,pirámide,neutro
1196,mirachina,aumentar,neutro
1197,mirachina,reproducir,neutro
1198,mirana,aumentar-producir,positivo
1199,mirka,paño-mancha de la cara,negativo
1200,mishanakuy,competencia,neutro
1201,mishay,ganar-competir,positivo
1202,mishki,dulce,neutro
1203,mishu,mestizo,neutro
1204,mishuma uchu,ají menos picante,neutro
1205,mitsa,verruga,negativo
1206,mitsak,mezquino,negativo
1207,mitsana,mezquinar,negativo
1208,miyuchina,contaminar,negativo
1209,miyuwayra,anhídrido carbónico,neutro
1210,miyuy,contaminación,negativo
1211,miyuy wanu,fertilizante químico,neutro
1212,miyuychi,contaminaciòn,negativo
1213,urku,montaña-cerro,neutro
1214,sacha,monte-bosque-selva,neutro
1215,muchana,besar,positivo
1216,muchiku,sombrero,neutro
1217,muksi,oxido,neutro
1218,muku,nudo,neutro
1219,muku,articulación,neutro
1220,munana,querer,positivo
1221,munanayay,deseo carnal,negativo
1222,munapayay,desear con locura,neutro
1223,munarishka,aficionado,neutro
1224,munay,deseo,positivo
1225,munay killka,escritura de expresión libre,positivo
1226,munay yachay,auto estudio,positivo
1227,munaymanta ruray,hobby-pasa tiempo,positivo
1228,muntira,gorra,neutro
1229,murtiñu,mortiños,neutro
1230,muru unkuy,sarampión,negativo
1231,muru,fruto,positivo
1232,muruchu,morocho,positivo
1233,murukuna,productos agrícolas-granos,positivo
1234,mushuk,nuevo,positivo
1235,mushukpacha,neolítico,neutro
1236,mushukyachinalla,renovable,positivo
1237,muskuna,soñar,positivo
1238,musparina,desvariar,negativo
1239,musyana,preveer,positivo
1240,musyana,prever,positivo
1241,musyay,prevención-temer-tener miedo,negativo
1242,mutilon,motilones,neutro
1243,mutsukmanta,necesariamente,neutro
1244,mutsuna,necesitar,neutro
1245,mutsuri killkanancha kutinchi,productos notables,neutro
1246,mutsurik,útil,positivo
1247,mutsushka,necesitado-menesteroso,neutro
1248,mutsuy,uso,neutro
1249,mutsuy,necesitar,neutro
1250,mutsuypa,utilidad,positivo
1251,muyu,semilla,positivo
1252,muyuna,rodear,neutro
1253,muyuntin,alrededor,neutro
1254,muyuntintupu,medida del círculo,neutro
1255,muyuriy,giro,neutro
1256,muyuy rimay,mesa redonda,neutro
1257,muyuy tupu,perímetro de la circunferencia,neutro
1258,muyuykuchu,ángulo de giro,neutro
1259,muyuypacha,ciclo,neutro
1260,muyuyrimay,mesa redonda,neutro
1261,muyuyshuyu,gráfico de pasteles,neutro
1262,muyuytupu,longitud de la circunferencia,neutro
1263,nanay,dolor,negativo
1264,nankay,equilibrio,positivo
1265,napaykuna,saludos,positivo
1266,niki,orden,positivo
1267,nikichik,ordenador-computadora-pc,positivo
1268,nikichina,ordenar-organizar,positivo
1269,nikirakiri,fase,neutro
1270,nikiyupay,números ordinales,neutro
1271,nikiyupaykuna,números ordinales,neutro
1272,nikyachay,teorema,neutro
1273,nimaykan,ninguna,neutro
1274,nina,fuego-llama-candela,neutro
1275,nina kuru,luciérnaga,neutro
1276,ninayay,combustión,neutro
1277,nipa,elemento,neutro
1278,nipakutichi,intersección,neutro
1279,nipapurachi,correspondencia-relación,neutro
1280,nipayay,componente,neutro
1281,nishani,autodeterminación,positivo
